"","FINAL_ID","PHYLUM","CLASS","ORDER","FAMILY","SUBFAMILY","GENUS","SPECIES","FEEDINGHAB","TOLERANCE","NBI_P_TOLERANCE","NBI_N_TOLERANCE","TOLNAME","CLASSIFIER","PREVNAMES","COMMONNAME","REFERENCE"
"65","EINFELDIA_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","einfeldia","NA","GATHERER",9,NA,NA,"TOLERANT",NA,"EINFELDIA?_SP.",NA,"124"
"66","EINFELDIA_NATCHITOCHEAE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","einfeldia","einfeldia_natchitocheae","GATHERER",9,NA,NA,"TOLERANT",NA,"EINFELDIA_SP._GR._D",NA,"124,36"
"67","ELLIPTIO_COMPLANATA","MOLLUSCA","BIVALVIA","UNIONOIDA","UNIONIDAE","AMBLEMINAE","elliptio","elliptio_complanata","FILTERER",8,NA,NA,"TOLERANT",NA,"ELLIPTIO_COMPLANATUS",NA,"116,83,3"
"68","PETROPHILA_SP.","ARTHROPODA","INSECTA","LEPIDOPTERA","CRAMBIDAE","NYMPHULINAE","petrophila","NA","SCRAPER",5,5,3,"FACULTATIVE",NA,"ELOPHILA_SP.,PARAGYRACTIS_SP.",NA,"83,66"
"69","ENDOCHIRONOMUS_NIGRICANS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","endochironomus","endochironomus_nigricans","SHREDDER",10,NA,NA,"TOLERANT",NA,"ENDOCHIRONOMUS_SP.",NA,"49106"
"70","DRUNELLA_CORNUTA","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","drunella","drunella_cornuta","GATHERER",0,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_CORNUTA,_EPHEMERELLA_SP._6",NA,"4"
"71","DRUNELLA_CORNUTELLA","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","drunella","drunella_cornutella","SCRAPER",0,4,4,"INTOLERANT",NA,"EPHEMERELLA_CORNUTELLA",NA,"4"
"72","SERRATELLA_DEFICIENS","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","teloganopsis","teloganopsis_deficiens","GATHERER",2,5,2,"INTOLERANT",NA,"EPHEMERELLA_DEFICIENS,_EPHEMERELLA_SP._1,_EPHEMERELLA_SP.",NA,"5"
"73","EURYLOPHELLA_FUNERALIS","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","eurylophella","eurylophella_funeralis","GATHERER",0,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_FUNERALIS",NA,"6,46"
"74","DRUNELLA_LATA","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","drunella","drunella_lata","SCRAPER",0,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_LATA",NA,"4"
"75","ATTENELLA_MARGARITA","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","attenella","attenella_margarita","GATHERER",1,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_MARGARITA",NA,"2"
"76","SERRATELLA_SERRATA","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","serratella","serratella_serrata","GATHERER",2,1,0,"INTOLERANT",NA,"EPHEMERELLA_SERRATA,_EPHEMERELLA_SP._5",NA,"5"
"77","SERRATELLA_SERRATOIDES","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","serratella","serratella_serratoides","GATHERER",2,0,1,"INTOLERANT",NA,"EPHEMERELLA_SERRATOIDES,_EPHEMERELLA_SP._1,_EPHEMERELLA_SP.",NA,"5"
"78","DANNELLA_SIMPLEX","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","dannella","dannella_simplex","GATHERER",2,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_SIMPLEX",NA,"3"
"79","SERRATELLA_SORDIDA","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","serratella","serratella_serrata","GATHERER",2,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_SORDIDA",NA,"5"
"80","EPHEMERELLA_ROTUNDA","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","ephemerella","ephemerella_invaria","GATHERER",1,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_SP._3",NA,"7"
"81","EURYLOPHELLA_TEMPORALIS","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","eurylophella","eurylophella_temporalis","GATHERER",5,NA,NA,"FACULTATIVE",NA,"EPHEMERELLA_TEMPORALIS",NA,"6,46"
"82","DRUNELLA_TUBERCULATA","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","drunella","drunella_tuberculata","SCRAPER",0,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_TUBERCULATA,_EPHEMERELLA_SP._2",NA,"4"
"83","EURYLOPHELLA_VERISIMILIS","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","eurylophella","eurylophella_verisimilis","GATHERER",2,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_VERSIMILIS,_EPHEMERELLA_SP._4",NA,"6,46"
"84","DRUNELLA_WALKERI","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLIDAE","drunella","drunella_walkeri","SCRAPER",0,NA,NA,"INTOLERANT",NA,"EPHEMERELLA_WALKERI",NA,"4"
"85","EUKIEFFERIELLA_BREHMI_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","eukiefferiella","eukiefferiella_brehmi","GATHERER",4,NA,NA,"INTOLERANT",NA,"EUKIEFFERIELLA_CLYPEATA,_EUKIEFFERIELLA_SP._5,_HETEROTRISSOCLADIUS__SP._3",NA,"13"
"86","CARDIOCLADIUS_ALBIPLUMUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","cardiocladius","cardiocladius_albiplumus","PREDATOR",5,NA,NA,"FACULTATIVE",NA,"EUKIEFFERIELLA_NR._SIMILIS,_CARDIOCLADIUS_SP._3,_EUKIEFFERIELLA_POTTHASTI_GR.",NA,"77"
"87","TVETENIA_BAVARICA_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","tvetenia","tvetenia_bavarica","GATHERER",4,9,10,"FACULTATIVE",NA,"EUKIEFFERIELLA_SAANENSIS,_EUKIEFFERIELLA_COERULESCENS_GR.,_TRICHOCLADIUS_SP._3",NA,"13"
"88","SYNORTHOCLADIUS_NR._SEMIVIRENS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","synorthocladius","synorthocladius_semivirens","GATHERER",6,6,9,"FACULTATIVE",NA,"EUKIEFFERIELLA_SP._3,_EUKIEFFERIELLA_SORDENS,_NANOCLADIUS_SP.",NA,"106"
"89","EUKIEFFERIELLA_PSEUDOMONTANA_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","eukiefferiella","eukiefferiella_pseudomontana","GATHERER",8,NA,NA,"TOLERANT",NA,"EUKIEFFERIELLA_SP._4",NA,"13"
"90","EUKIEFFERIELLA_CLARIPENNIS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","eukiefferiella","eukiefferiella_claripennis","GATHERER",8,NA,NA,"TOLERANT",NA,"EUKIEFFERIELLA_SP._9",NA,"13"
"91","FERRISSIA_RIVULARIS","MOLLUSCA","GASTROPODA","BASOMMATOPHORA","ANCYLIDAE","ANCYLIDAE","ferrissia","ferrissia_rivularis","SCRAPER",6,NA,NA,"FACULTATIVE",NA,"FERRISSIA_PARALLELA",NA,"60,83"
"92","GLYPTOTENDIPES_LOBIFERUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","glyptotendipes","glyptotendipes_lobiferus","SHREDDER",10,NA,NA,"TOLERANT",NA,"GLYPTOTENDIPES_SP._1",NA,"106"
"93","PROMORESIA_ELEGANS","ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","ELMINAE","optioservus","optioservus_elegans","SCRAPER",2,10,10,"INTOLERANT",NA,"GONIELMIS_DIETRICHI",NA,"19"
"94","GYRAULUS_DEFLECTUS","MOLLUSCA","GASTROPODA","BASOMMATOPHORA","PLANORBIDAE","PLANORBIDAE","gyraulus","gyraulus_deflectus","SCRAPER",8,NA,NA,"TOLERANT",NA,"GYRAULUS_HIRSUTUS",NA,"60,83"
"95","HABROPHLEBIA_VIBRANS","ARTHROPODA","INSECTA","EPHEMEROPTERA","LEPTOPHLEBIIDAE","LEPTOPHLEBIIDAE","habrophlebia","habrophlebia_vibrans","GATHERER",4,NA,NA,"INTOLERANT",NA,"HABROPHLEBIA_SP.",NA,"83,34"
"96","CLADOPELMA_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","cladopelma","NA","GATHERER",9,NA,NA,"TOLERANT",NA,"HARNISCHIA_SP.",NA,"124"
"97","LEUCROCUTA_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","leucrocuta","NA","SCRAPER",1,1,3,"INTOLERANT",NA,"HEPTAGENIA_JUNO",NA,"83,43"
